Inf,Name,Nationality,Media Handling,Personality,ShT/90,Ps C/90,Ps A/90,K Ps/90,Int/90,Hdrs W/90,Drb/90,Dist/90,Asts/90,Ch C/90,Mins/Gl,Wor,Vis,Tec,Tck,Str,Sta,Pos,Pen,Pas,Pac,OtB,Nat,Mar,L Th,Lon,Ldr,Jum,Hea,Fre,Fla,Fir,Fin,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Bra,Bal,Ant,Agg,Acc,Position Selected,Position,Age,Agreed Playing Time,Wage,Transfer Value,Agi,Tea,Gls/90,Shot/90,Blk/90,Clr/90,Cr C/90,Poss Won/90,Pr passes/90,xA/90,xG/90,Tck/90,Poss Lost/90,Left Foot,Right Foot,Conv %,Pas %,Cr C/A,Tck R,Club
Hol,Nils-Ole Kruth,GER,Unflappable,Light-Hearted,1.18,40.98,48.05,2.50,0.90,0.55,1.25,13.2km,0.69,1.18,259.60,16,18,16,5,12,14,8,10,14,13,15,18,9,5,13,10,6,10,9,16,15,14,13,16,15,8,9,8,14,9,16,16,12,13,-,"AMC, MC",23,Important Player,71,"12000000, 14500000",15,12,0.35,2.70,0.14,0.14,0.28,5.48,5.89,0.46,0.32,1.73,10.26,Fairly Strong,Very Strong,13%,85%,20%,66%,PFK Montana
Hol,Thomas Novak,AUT,Media-friendly,Fairly Determined,0.48,38.99,46.25,2.23,3.83,5.36,1.79,14.3km,0.30,0.63,"1,209.50",13,10,12,12,12,17,13,4,12,14,10,16,10,11,8,14,17,11,1,8,13,7,11,17,13,15,3,13,10,6,18,12,9,16,-,"AML, DC, DL, WBL",23,Squad Player,49.5,"11500000, 13500000",19,13,0.07,1.49,0.56,1.19,0.37,16.18,6.73,0.30,0.15,2.86,10.64,Very Strong,Reasonable,5%,84%,10%,79%,PFK Montana
Hol,Sergio Cipriotti,ARG,Media-friendly,Fairly Professional,0.11,54.42,59.08,0.36,2.77,5.32,0.22,11.3km,0.06,0.03,"3,248.00",12,12,16,14,14,16,15,5,11,15,12,13,14,9,8,12,15,13,6,10,12,6,10,12,16,9,11,16,13,16,16,17,12,14,-,"DC, DR",23,Important Player,13,"12500000, 13500000",17,13,0.03,0.58,0.61,0.44,0.00,16.02,5.82,0.04,0.03,1.44,5.46,Reasonable,Very Strong,5%,92%,-,76%,PFK Montana
Int,Nicklas Blume,DEN,"Volatile, Media-friendly, Confrontational",Driven,0.51,51.04,57.79,1.49,2.33,2.24,0.19,12.3km,0.19,0.37,482.75,15,16,11,12,13,16,12,6,12,15,12,11,14,5,11,16,12,8,10,6,13,7,8,20,12,10,8,15,12,17,12,14,12,13,DCL,"DC, DM, DR, MC",21,Regular Starter,19,"8199999.999999999, 9000000",17,12,0.19,1.54,0.65,0.79,0.05,11.14,7.36,0.20,0.12,1.58,7.60,Reasonable,Very Strong,12%,88%,10%,65%,PFK Montana
Int,Diogo Gerardo,POR,"Volatile, Media-friendly",Balanced,0.49,34.96,40.91,1.34,3.71,1.71,2.16,13.9km,0.20,0.57,552.25,14,13,14,12,11,16,13,5,11,15,15,16,11,12,8,16,9,9,1,13,12,5,10,14,14,11,3,14,11,15,18,15,10,16,-,"DR, WBR",22,Important Player,56,"9600000, 13000000",16,17,0.16,0.94,0.57,0.45,0.37,15.03,6.89,0.17,0.07,3.06,9.82,Fairly Strong,Very Strong,17%,85%,10%,77%,PFK Montana
Hol,Anton Lukac,SVK,Level-headed,Driven,1.03,33.67,40.63,1.03,1.22,0.85,0.85,13.5km,-,0.38,239.25,13,16,16,7,12,13,12,11,15,14,15,13,9,4,15,11,13,12,9,16,16,12,12,18,15,10,11,9,15,6,15,13,13,13,-,"AMC, MC",27,Important Player,31.5,"8199999.999999999, 10000000",16,10,0.38,3.67,0.09,0.38,0.19,5.17,4.33,0.18,0.45,1.22,11.47,Very Strong,Fairly Strong,10%,83%,10%,68%,PFK Montana
"",Tasos Kokotsakis,GRE,Level-headed,Professional,1.85,18.65,21.23,0.77,0.92,3.16,1.31,12.0km,0.27,0.27,155.73,13,11,14,3,13,15,7,8,12,15,15,18,5,4,11,10,17,12,4,13,14,18,13,15,13,9,11,9,13,9,17,14,6,15,-,STC,20,Out On Loan,20,"9000000, 10500000",16,11,0.58,3.70,0.08,0.31,0.04,2.77,0.73,0.09,0.44,1.43,12.41,Reasonable,Very Strong,16%,88%,20%,73%,Olympiacos
Hol,Gevorg Sargsyan,ARM,"Media-friendly, Reserved",Professional,1.15,38.78,45.74,2.63,0.99,0.33,1.15,12.7km,0.16,0.66,328.60,15,18,13,9,13,13,14,8,15,13,14,11,8,5,12,5,4,8,10,12,16,7,11,18,16,7,8,13,16,9,17,13,14,12,-,"DM, MC",21,Breakthrough Prospect,7.5,"10000000, 11000000",14,15,0.27,2.25,0.16,0.22,0.27,5.70,6.14,0.25,0.31,1.75,9.53,Reasonable,Very Strong,12%,85%,14%,68%,PFK Montana
Inj,Kacper Madej,POL,Level-headed,Spirited,1.82,24.93,31.01,5.47,3.04,0.61,0.61,13.4km,0.61,1.82,148.00,12,14,15,2,10,16,6,10,14,15,12,14,7,6,11,7,9,9,9,15,12,8,16,14,12,15,13,10,12,5,16,11,10,16,-,"AMR, MR",21,Squad Player,33,"3900000, 5400000",16,9,0.61,3.65,1.22,0.00,3.65,5.47,3.65,0.52,0.43,1.82,15.81,Reasonable,Very Strong,17%,80%,33%,60%,PFK Montana
Int,Asle Hanssen,NOR,Volatile,Perfectionist,1.22,41.76,50.47,4.05,3.04,1.62,1.01,14.3km,0.81,1.82,444.00,13,15,14,14,13,16,10,5,14,14,11,12,11,7,12,16,14,10,13,11,12,9,11,15,13,11,13,12,13,13,11,14,15,14,-,"AMC, DR, MC, WBR",22,Breakthrough Prospect,6.25,"3700000, 5000000",13,17,0.20,2.64,0.41,0.20,0.20,9.53,6.49,0.62,0.34,2.43,14.19,Very Weak,Very Strong,8%,83%,16%,71%,PFK Montana
Hol,Dor Itzhak,ISR,Level-headed,Fairly Determined,0.45,53.16,57.90,0.82,2.58,3.88,0.20,11.6km,0.04,0.16,"2,201.00",15,16,16,14,14,13,14,4,15,14,11,15,14,4,11,13,12,10,8,11,13,3,8,17,13,9,7,13,14,16,13,14,9,13,-,"DC, DM, MC",23,Regular Starter,6.75,"350000, 750000",15,12,0.04,1.02,0.41,0.57,0.04,14.07,6.54,0.07,0.09,1.51,4.95,Fairly Strong,Very Strong,4%,92%,33%,69%,PFK Montana
Int,Kristian Marku,KOS,"Volatile, Media-friendly",Fairly Determined,-,24.00,29.50,-,0.50,-,-,6.4km,-,-,-,7,12,10,3,12,11,13,3,11,11,1,12,3,1,2,12,17,1,3,1,8,3,2,15,13,1,4,15,10,16,12,14,9,11,-,GK,28,Backup,10,"550000, 1200000",16,10,-,-,-,0.00,-,8.00,0.50,0.00,0.00,-,5.50,Strong,Very Strong,-,81%,-,-,PFK Montana
Hol,Guy Lasserre,FRA,"Volatile, Media-friendly, Confrontational",Fairly Determined,0.38,67.69,75.63,1.89,2.27,7.18,-,12.6km,-,-,-,13,11,11,13,15,14,15,3,9,13,10,11,14,3,3,16,16,10,3,6,9,6,10,15,13,5,3,14,11,13,16,13,8,14,-,DC,27,Emergency Backup,15.5,"0, 0",14,12,-,0.38,1.51,1.89,0.00,23.45,9.08,0.09,0.06,1.13,9.45,Very Strong,Reasonable,-,90%,-,75%,PFK Montana
Int,Boris Zorić,SRB,Level-headed,Balanced,0.30,22.73,26.97,0.61,0.91,2.12,1.52,13.1km,0.30,0.30,-,15,10,13,1,10,14,4,3,10,11,17,15,1,1,10,17,13,9,6,15,16,15,9,12,15,10,6,4,15,9,13,16,12,15,-,"AML, AMR, STC",32,Squad Player,7.5,"425000, 650000",14,14,-,1.52,-,0.91,0.00,4.55,2.12,0.19,0.14,1.52,8.79,Very Strong,Reasonable,-,84%,-,100%,PFK Montana
Hol,Stefan Larsen,DEN,"Volatile, Media-friendly",Fairly Determined,0.10,36.50,41.07,1.07,1.94,1.46,0.78,13.6km,-,0.19,-,12,11,10,12,9,13,17,4,11,12,10,17,12,9,8,14,10,9,3,9,12,6,8,15,18,11,5,14,11,16,13,15,9,11,-,"DC, DL, WBL",21,Squad Player,16,"7400000, 8199999.999999999",11,16,-,0.49,0.68,0.78,0.19,9.81,6.02,0.09,0.05,2.72,7.86,Very Strong,Fairly Strong,-,89%,6%,78%,PFK Montana
